iter	Passed	Remaining
0	138	137968
1	138	69175
2	139	46223
3	139	34743
4	139	27857
5	140	23263
6	140	19982
7	141	17522
8	141	15610
9	142	14078
10	142	12825
11	143	11781
12	143	10898
13	143	10141
14	144	9485
15	144	8910
16	145	8404
17	145	7954
18	146	7551
19	146	7188
20	147	6860
21	147	6561
22	148	6289
23	148	6039
24	148	5809
25	149	5596
26	149	5399
27	150	5220
28	150	5054
29	151	4901
30	152	4754
31	152	4615
32	153	4486
33	153	4362
34	154	4248
35	154	4138
36	155	4035
37	155	3938
38	156	3844
39	156	3757
40	157	3674
41	157	3595
42	158	3519
43	158	3445
44	159	3376
45	159	3310
46	160	3246
47	160	3185
48	161	3126
49	161	3070
50	162	3016
51	162	2965
52	163	2914
53	163	2867
54	164	2821
55	164	2776
56	165	2732
57	165	2690
58	166	2649
59	166	2611
60	167	2574
61	167	2538
62	168	2502
63	168	2468
64	169	2434
65	169	2401
66	170	2369
67	170	2335
68	170	2305
69	171	2275
70	171	2247
71	172	2220
72	172	2193
73	173	2168
74	173	2142
75	174	2118
76	174	2094
77	175	2070
78	175	2047
79	176	2025
80	176	2003
81	176	1981
82	177	1960
83	177	1940
84	178	1918
85	178	1900
86	179	1880
87	179	1861
88	180	1843
89	180	1825
90	181	1808
91	181	1791
92	181	1774
93	182	1758
94	182	1742
95	183	1726
96	183	1711
97	184	1695
98	184	1681
99	185	1666
100	185	1652
101	185	1636
102	186	1622
103	186	1609
104	187	1596
105	187	1583
106	188	1570
107	188	1558
108	189	1545
109	189	1533
110	190	1522
111	190	1510
112	190	1498
113	191	1487
114	191	1476
115	192	1464
116	192	1454
117	193	1444
118	193	1433
119	194	1423
120	194	1413
121	195	1403
122	195	1392
123	195	1382
124	196	1373
125	196	1363
126	197	1354
127	197	1344
128	197	1335
129	198	1326
130	198	1318
131	199	1309
132	199	1301
133	200	1293
134	200	1285
135	201	1277
136	201	1269
137	201	1261
138	202	1253
139	202	1245
140	203	1238
141	203	1230
142	204	1223
143	204	1216
144	205	1209
145	205	1202
146	205	1195
147	206	1188
148	207	1182
149	207	1176
150	208	1169
151	208	1163
152	208	1156
153	209	1150
154	209	1144
155	210	1138
156	210	1132
157	211	1126
158	211	1120
159	212	1114
160	212	1108
161	213	1103
162	213	1097
163	214	1092
164	214	1086
165	215	1081
166	215	1075
167	216	1070
168	216	1064
169	217	1059
170	217	1054
171	217	1049
172	218	1043
173	218	1038
174	219	1033
175	219	1028
176	220	1023
177	220	1019
178	221	1014
179	221	1009
180	221	1003
181	222	999
182	222	994
183	223	989
184	223	985
185	224	980
186	224	976
187	225	971
188	225	967
189	225	963
190	226	958
191	226	954
192	227	950
193	227	946
194	228	942
195	228	938
196	229	934
197	229	930
198	230	926
199	230	922
200	230	918
201	231	914
202	231	910
203	232	906
204	232	902
205	233	899
206	233	895
207	234	892
208	234	889
209	235	885
210	235	882
211	236	878
212	236	875
213	237	872
214	237	868
215	238	865
216	238	862
217	239	858
218	239	855
219	240	852
220	240	848
221	241	845
222	241	842
223	242	838
224	242	835
225	243	832
226	243	829
227	243	826
228	244	822
229	244	819
230	245	816
231	245	814
232	246	811
233	246	808
234	247	805
235	247	802
236	248	799
237	248	796
238	249	793
239	249	790
240	250	787
241	250	784
242	251	782
243	251	779
244	251	776
245	252	773
246	252	771
247	253	768
248	253	765
249	254	762
250	254	760
251	255	757
252	255	754
253	256	752
254	256	749
255	256	746
256	257	744
257	257	741
258	258	739
259	258	736
260	259	734
261	259	731
262	260	729
263	260	726
264	261	724
265	261	721
266	262	719
267	262	717
268	263	714
269	263	712
270	263	710
271	264	707
272	264	705
273	265	703
274	265	700
275	266	698
276	266	696
277	267	694
278	267	692
279	268	689
280	268	687
281	269	685
282	269	683
283	270	681
284	270	678
285	271	676
286	271	674
287	272	672
288	272	670
289	273	668
290	273	666
291	274	664
292	274	662
293	275	660
294	275	658
295	276	656
296	276	654
297	276	652
298	277	650
299	277	648
300	278	646
301	278	644
302	279	642
303	279	640
304	280	638
305	280	636
306	281	634
307	281	632
308	282	630
309	282	628
310	283	626
311	283	625
312	283	623
313	284	621
314	284	619
315	285	617
316	285	615
317	286	613
318	286	611
319	287	610
320	287	608
321	288	606
322	288	604
323	288	602
324	289	600
325	289	599
326	290	597
327	290	595
328	291	594
329	291	592
330	292	590
331	292	588
332	293	587
333	293	585
334	294	583
335	294	581
336	294	580
337	295	578
338	295	576
339	296	575
340	296	573
341	297	571
342	297	570
343	298	568
344	298	566
345	299	565
346	299	563
347	299	562
348	300	560
349	300	558
350	301	557
351	301	555
352	302	554
353	302	552
354	303	550
355	303	549
356	304	547
357	304	546
358	305	544
359	305	543
360	306	541
361	306	540
362	306	538
363	307	537
364	307	535
365	308	534
366	308	532
367	309	531
368	309	529
369	310	528
370	310	526
371	311	525
372	311	523
373	312	522
374	312	520
375	313	519
376	313	518
377	313	516
378	314	515
379	314	513
380	315	512
381	315	510
382	316	509
383	316	508
384	317	506
385	317	505
386	318	504
387	318	503
388	319	501
389	320	500
390	320	499
391	321	498
392	321	496
393	322	495
394	322	494
395	323	492
396	323	491
397	324	490
398	324	488
399	324	487
400	325	486
401	325	484
402	326	483
403	326	482
404	327	480
405	327	479
406	328	478
407	328	476
408	329	475
409	329	474
410	330	473
411	330	472
412	331	471
413	332	469
414	332	468
415	333	467
416	333	466
417	334	465
418	334	464
419	335	463
420	336	462
421	336	460
422	337	459
423	337	458
424	337	457
425	338	456
426	338	454
427	339	453
428	339	452
429	340	451
430	340	449
431	341	448
432	341	447
433	342	446
434	342	445
435	343	443
436	343	442
437	344	441
438	344	440
439	345	439
440	345	438
441	346	436
442	346	435
443	347	434
444	347	433
445	347	432
446	348	431
447	348	429
448	349	428
449	349	427
450	350	426
451	350	425
452	351	424
453	351	422
454	352	421
455	352	420
456	353	419
457	353	418
458	353	417
459	354	416
460	355	415
461	355	413
462	356	412
463	356	411
464	356	410
465	357	409
466	357	408
467	358	407
468	359	406
469	359	405
470	360	404
471	360	403
472	361	402
473	361	401
474	361	400
475	362	398
476	362	397
477	363	396
478	363	395
479	364	394
480	364	393
481	365	392
482	365	391
483	366	390
484	366	389
485	367	388
486	367	387
487	368	386
488	368	385
489	369	384
490	369	383
491	370	382
492	370	381
493	371	380
494	371	379
495	372	378
496	372	377
497	373	376
498	373	375
499	374	374
500	374	373
501	375	372
502	375	371
503	376	370
504	376	369
505	377	368
506	377	367
507	378	366
508	378	365
509	379	364
510	379	363
511	380	362
512	380	361
513	381	360
514	381	359
515	382	358
516	382	357
517	383	356
518	383	355
519	384	354
520	384	353
521	385	352
522	385	351
523	386	350
524	386	349
525	386	348
526	387	347
527	387	346
528	388	345
529	389	344
530	389	344
531	390	343
532	390	342
533	391	341
534	391	340
535	391	339
536	392	338
537	392	337
538	393	336
539	393	335
540	394	334
541	394	333
542	395	332
543	395	331
544	396	330
545	396	329
546	397	328
547	397	327
548	398	327
549	398	326
550	399	325
551	399	324
552	399	323
553	400	322
554	400	321
555	401	320
556	401	319
557	402	318
558	402	317
559	403	316
560	403	315
561	404	315
562	404	314
563	405	313
564	405	312
565	406	311
566	406	310
567	406	309
568	407	308
569	407	307
570	408	306
571	408	305
572	409	305
573	409	304
574	410	303
575	410	302
576	411	301
577	411	300
578	412	299
579	412	298
580	413	297
581	413	296
582	413	296
583	414	295
584	415	294
585	415	293
586	416	292
587	416	291
588	416	290
589	417	290
590	417	289
591	418	288
592	418	287
593	419	286
594	419	285
595	420	284
596	420	283
597	421	283
598	421	282
599	422	281
600	422	280
601	422	279
602	423	278
603	423	277
604	424	277
605	424	276
606	425	275
607	425	274
608	426	273
609	426	272
610	427	271
611	427	271
612	428	270
613	428	269
614	429	268
615	430	268
616	430	267
617	431	266
618	431	265
619	432	264
620	432	264
621	433	263
622	434	262
623	434	261
624	435	261
625	435	260
626	436	259
627	436	258
628	437	257
629	437	256
630	437	256
631	438	255
632	438	254
633	439	253
634	439	252
635	440	251
636	440	251
637	441	250
638	441	249
639	442	248
640	442	247
641	443	247
642	443	246
643	444	245
644	444	244
645	445	243
646	445	243
647	445	242
648	446	241
649	446	240
650	447	239
651	447	239
652	448	238
653	448	237
654	449	236
655	449	235
656	450	235
657	450	234
658	451	233
659	451	232
660	452	231
661	452	231
662	452	230
663	453	229
664	453	228
665	454	227
666	454	227
667	455	226
668	455	225
669	456	224
670	456	224
671	457	223
672	457	222
673	458	221
674	458	220
675	459	220
676	460	219
677	460	218
678	461	217
679	461	217
680	461	216
681	462	215
682	462	214
683	463	214
684	463	213
685	464	212
686	464	211
687	465	210
688	465	210
689	466	209
690	466	208
691	467	207
692	467	207
693	468	206
694	468	205
695	468	204
696	469	204
697	469	203
698	470	202
699	470	201
700	471	201
701	471	200
702	472	199
703	472	198
704	473	198
705	473	197
706	473	196
707	474	195
708	474	194
709	475	194
710	475	193
711	476	192
712	476	191
713	477	191
714	477	190
715	478	189
716	478	188
717	479	188
718	479	187
719	480	186
720	480	185
721	481	185
722	481	184
723	481	183
724	482	182
725	482	182
726	483	181
727	483	180
728	484	180
729	484	179
730	485	178
731	485	177
732	486	177
733	486	176
734	487	175
735	487	174
736	488	174
737	488	173
738	489	172
739	489	172
740	490	171
741	490	170
742	491	169
743	491	169
744	492	168
745	493	167
746	493	167
747	494	166
748	494	165
749	495	165
750	495	164
751	496	163
752	496	162
753	497	162
754	497	161
755	498	160
756	498	160
757	499	159
758	499	158
759	500	157
760	500	157
761	501	156
762	501	155
763	502	155
764	502	154
765	503	153
766	503	153
767	504	152
768	504	151
769	505	150
770	505	150
771	506	149
772	506	148
773	507	148
774	507	147
775	508	146
776	508	146
777	509	145
778	509	144
779	510	143
780	510	143
781	511	142
782	511	141
783	512	141
784	512	140
785	513	139
786	513	139
787	514	138
788	514	137
789	515	137
790	515	136
791	516	135
792	516	134
793	517	134
794	517	133
795	518	132
796	518	132
797	519	131
798	519	130
799	520	130
800	520	129
801	521	128
802	521	127
803	522	127
804	522	126
805	523	125
806	523	125
807	523	124
808	524	123
809	524	123
810	525	122
811	525	121
812	526	121
813	526	120
814	527	119
815	527	119
816	528	118
817	528	117
818	529	116
819	529	116
820	530	115
821	530	114
